relationship_row_id,doc_id,region,ethnography_group,entity_a,entity_a_type,entity_b,entity_b_type,scope_coded,reasoning,supporting_quote_raw,relation_label_raw,local_term_raw,symmetry_coded,relation_type_coded,confidence,notes,extracted_at
430,/Azande_EvansPrittchard_1933_390-392b_KS,CentralAfrica,Azande,that blood-brother of mine,kin_role,this elder brother of his father,kin_role,kinship,Text shows a blood-brother telling a joke about a man's father to the father's elder brother; patterned kin joking.,"He passes on to see this elder brother of his father and says to him: ‘Father, it is you I have come to see because that fellow over there, that blood-brother of mine, said yesterday that you were dead. ’",blood-jests,,unclear,joking_relationship,0.7,Joking involves blood-brother making false report about death; institutional 'blood-jests' between kin roles.,2026-07-06T08:57:25.244716+00:00
431,/Azande_EvansPrittchard_1933_390-392b_KS,CentralAfrica,Azande,some one with whom you are on joking terms,group,your relative,kin_role,kinship,Passage describes culturally known 'joking terms' whereby a person jestingly reports a relative's death.,"‘It is thus they say about jests of this kind: if some one with whom you are on joking terms comes with a long sad face to tell you some story about your relatives such as ‘Don’t you know that your relative has died?’ you should take care not to be caught. He is jesting about your relative saying that he is dead, and you must not be taken in. Blood-jests, they say, are awful lies.'",blood-jests,,symmetric,joking_relationship,0.85,Generic institutionalized joking relationship between 'joking terms' partners and one's relatives.,2026-07-06T08:57:25.244716+00:00
432,/Azande_EvansPrittchard_1933_390-392c_KS,CentralAfrica,Azande,Abauura,clan,Abangombi,clan,within_group,Text states a recurring clan-level 'Joking Relationship' allowing insults without offence.,"As the behaviour pattern between blood-brothers is extended to the members of their clans, an extension discussed in the following section, a ‘Joking Relationship’ may grow up between two clans who may insult one another with impunity. I do not think that this [ ] is common in Zandeland, but it appears to happen sometimes, as, for example, between the Abauura and the Abangombi,",Joking Relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:33.611419+00:00
433,/Azande_EvansPrittchard_1933_390-392c_KS,CentralAfrica,Azande,Akalinga,clan,Agiti,clan,within_group,Explicitly named clan pair exemplifying recurrent institutionalized joking between clans.,"As the behaviour pattern between blood-brothers is extended to the members of their clans, an extension discussed in the following section, a ‘Joking Relationship’ may grow up between two clans who may insult one another with impunity. I do not think that this [ ] is common in Zandeland, but it appears to happen sometimes, as, for example, between the Abauura and the Abangombi, the Akalinga and the Agiti, and in one or two other instances, who jest in this manner without offence being taken by either party,",Joking Relationship,,symmetric,joking_relationship,0.9,,2026-07-06T08:57:33.611419+00:00
434,/Azande_EvansPrittchard_1937_185_KS,CentralAfrica,Azande,young nobles,age_set,witch-doctors,group,within_group,Document describes recurring practice of nobles testing/teasing witch-doctors as a cultural test.,"Young nobles, and sometimes commoners of influence also, will test witch-doctors by playing a joke on them. Nobles often play this trick.",test (joke) on witch-doctors,,non_symmetric,joking_relationship,0.9,Includes occasional influential commoners but primary jokers are young nobles; extracted as age_set vs witch-doctor group.,2026-07-06T08:57:58.503985+00:00
435,/Azande_EvansPrittchard_1937_206_KS,CentralAfrica,Azande,witch-doctors,caste,witch-doctors,caste,within_group,"Recurrent, patterned joking among occupational colleagues during communal professional ceremonies.","They chat and joke among themselves about a variety of secular subjects, though the affairs of their profession are also sometimes discussed.",collegial joking,,symmetric,joking_relationship,0.8,Occupational/collegial joking during communal witch-doctor cooking ceremony; treated as an institutionalized pattern in text.,2026-07-06T08:58:04.342904+00:00
436,/Azande_EvansPrittchard_1937_376_KS,CentralAfrica,Azande,witch-doctors,group,members of their audience,group,within_group,"Ritualized makama test is performed by witch-doctors toward audience members as a recurrent joking, lightly regarded practice.",Witch-doctors hand it to members of their audience at seances to discover whether they are witches (see p. ). They hold the sheath and present the cone to the people they want to test. Those who fail to pull out the cone are suspected of witchcraft though the test is regarded lightly by every one and rather in the nature of a joke.,,makama,non_symmetric,joking_relationship,0.7,,2026-07-06T08:58:14.832010+00:00
437,/Azande_EvansPrittchard_1957_707_KS,CentralAfrica,Azande,Zande princes,group,his favourite wives,kin_role,within_group,Text shows recurring bantering/teasing between princes and their favourite wives in courtly/private context.,"One of them told me that Ngere had this kind of bantering conversation with his favourite wives as he sat with them round the evening fire: « That son of mine, you have made a love-bond with him! » « Oh, no master! » « Yes you have, you are merely mocking me. » « That son of mine who is always in the outer court, what is he always waiting for? He has a lover among you. » « Oh master, how you joke with us. »",bantering conversation,,mixed,banter,0.8,,2026-07-06T08:58:35.133306+00:00
438,/Azande_EvansPrittchard_1957_707_KS,CentralAfrica,Azande,Prince Ngere,person,his small pages,group,within_group,Prince repeatedly teases/calls pages 'lover' as playful teasing; culturally patterned in court setting.,"Prince Ngere calls one of his small pages and says « This boy is your lover! » « Oh no master, if it were indeed thus how would we escape your anger and live? »",playful accusation,,non_symmetric,joking_relationship,0.75,Institutionalized in royal household context; asymmetry as prince teases pages.,2026-07-06T08:58:35.133306+00:00
439,/Azande_EvansPrittchard_1962_214_KS,CentralAfrica,Azande,blood-brothers,kin_role,blood-brothers,kin_role,kinship,Text describes a recurrent joking relationship (buga) specifically between blood-brothers.,He continues in the language of the joking relationship—what Azande call buga—between blood-brothers: ‘my witchcraft is so active inside me that I might have killed you (I was so longing for a drink of beer); now the rubbing-board oracle would not accuse me (of witchcraft)’.,buga,buga,symmetric,joking_relationship,0.9,,2026-07-06T08:58:46.346586+00:00
440,/Azande_EvansPrittchard_1962_218_KS,CentralAfrica,Azande,a commoner,group,a prince,group,within_group,"Text describes culturally sanctioned sanza jokes by commoners toward princes as patterned, recurrent practice.","A commoner may speak or act a sanza towards a prince, but unless it is an entirely harmless joking kind of sanza or a highly complimentary one he runs a grave risk in doing so.",sanza,sanza,non_symmetric,joking_relationship,0.95,,2026-07-06T08:58:57.328275+00:00
441,/Azande_EvansPrittchard_1962_218_KS,CentralAfrica,Azande,old commoner favourites of a prince,group,a prince,group,within_group,Harmless sanza (sanza mbaro) is described as a recurrent playful practice by old commoner favourites toward their prince.,"A harmless sanza, what Azande call a sanza mbaro, a sanza in fun, is the habit of old commoner favourites of a prince of placing their hands before their mouths when speaking, especially when beginning to speak to him.",sanza (harmless),sanza mbaro,non_symmetric,joking_relationship,0.95,,2026-07-06T08:58:57.328275+00:00
442,/Azande_EvansPrittchard_1962_221_KS,CentralAfrica,Azande,blood-brother,kin_role,blood-brother,kin_role,kinship,"Greeting between blood-brothers is a culturally patterned joking/warning ritual (sanza), an institutionalized interaction.","In old days also a man’s blood-brother would try to warn him as he entered court that there was trouble brewing for him there and that he had better get away quickly. He did this by greeting his blood-brother in the joking manner of greeting that obtains between blood-brothers, that is, by shaking his hand, and in doing so pressing a finger into the centre of the hand or scraping it with a finger.",joking greeting / warning (sanza),sanza,symmetric,joking_relationship,0.9,,2026-07-06T08:59:11.385438+00:00
443,/Azande_EvansPrittchard_1962_221_KS,CentralAfrica,Azande,friend,group,friend,group,within_group,Friends use eye-movement sanza to direct malicious fun; culturally patterned licensed teasing between friends.,"Another wants to make malicious fun of him, so he catches the eye of a friend and by moving his own head round he directs it to the exposure.",eye-signaling teasing (sanza),sanza,symmetric,joking_relationship,0.85,,2026-07-06T08:59:11.385438+00:00
444,/Azande_EvansPrittchard_1962_221_KS,CentralAfrica,Azande,husband,kin_role,wife,kin_role,kinship,Husbands habitually use sanza about wives in presence of others to insult without exposure; a patterned spousal teasing institution.,"A man says about his wife, whom he dislikes, in the presence of other women ‘this stupid dog, I keep it only because of my cough'. ... The inner meaning of the words is ‘this stupid woman [his wife], I keep her only because she hoes my gardens'. Were the wife to understand this she would make a row, but should she do so then or later, someone in the meanwhile having explained it to her, her husband would feign innocence, saying that he was speaking only of his dog and meant no more than he said.",spousal teasing via sanza,sanza,non_symmetric,joking_relationship,0.9,,2026-07-06T08:59:11.385438+00:00
445,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,blood-brothers,kin_role,blood-brothers,kin_role,kinship,"Text states blood-brothers may use joking language buga as permissible, recurrent teasing between that kin role.","With certain persons, particularly with blood-brothers, it is permissible to use a joking language, called buga, in which things may be said which would not be proper if said to other persons.",buga,buga,symmetric,joking_relationship,0.95,,2026-07-06T08:59:33.525494+00:00
446,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,wife,kin_role,husband,kin_role,kinship,Sanza is used in the wife-to-husband relationship as a culturally permitted circumlocutory teasing form.,"The gbigbita sanza, the bad sanza, is more common. One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, ...",sanza,sanza,non_symmetric,joking_relationship,0.9,,2026-07-06T08:59:33.525494+00:00
447,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,commoner,group,prince,person,within_group,Text identifies sanctioned sanza use between commoners and prince as a relationship constrained by social rank.,"One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, that of commoner to prince, ...",sanza,sanza,non_symmetric,joking_relationship,0.9,Prince coded as person because office/individual; commoner as group.,2026-07-06T08:59:33.525494+00:00
448,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,man,kin_role,his in-laws,kin_role,kinship,"Text states sanza is used because one 'dares not say openly' due to relationship of a man to his in-laws, indicating recurrent teasing license.","One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, that of commoner to prince, that between blood-brothers, that of a man to his in-laws.",sanza,sanza,non_symmetric,joking_relationship,0.9,,2026-07-06T08:59:33.525494+00:00
449,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,men who frequent court,group,men who frequent court,group,within_group,Court attendants are described as skillful in getting sly digs and joking one another as a recurring competitive behavior.,"Men who frequent court are there to serve their own interests and in competition to win the favour of their prince, and they are well-known for their skill in getting in sharp, sly little digs at one another in the form of apparently innocuous jokes and ...",,sanza,symmetric,joking_relationship,0.9,Grouped occupational/political role within society; local term sanza used throughout.,2026-07-06T08:59:33.525494+00:00
450,/Azande_EvansPrittchard_1962_223_KS,CentralAfrica,Azande,wife,kin_role,another man's wife,kin_role,kinship,"Example shows wives address other wives in sanza in husband's presence, a patterned teasing between affinal household members.","For example, a wife says in sanza to another man’s wife in the presence of her husband ‘the renown of your home is greater than ours’. In fact, she means the opposite and is having a dig at the owner of the homestead who, she well knows, hears what she says.",sanza,sanza,mixed,joking_relationship,0.9,Affinal teasing may be directed at husband though exchanged between wives; coded mixed since directionality varies.,2026-07-06T08:59:33.525494+00:00
451,/Azande_Seligman_1932_503_KS,CentralAfrica,Azande,chief,group,his old Zande deputies,group,within_group,Text states recurring joking between a chief and his deputies; institutionalized within same society.,"There is no familiarity between a paramount chief and his sons and younger brothers, who fear their father greatly and are subjected to severe discipline. ... Between a chief and his deputies there is not the same strain; a chief is often seen joking with his old Zande deputies,",,bakumba,symmetric,joking_relationship,0.9,Deputies referred to elsewhere as bakumba (chief's deputy).,2026-07-06T08:59:50.818994+00:00
483,/Barundi_Albert_1963_209_KS,CentralAfrica,Barundi,a married son,kin_role,his mother,kin_role,kinship,Text states mothers routinely mock and shame married sons who give no presents.,"From her married son, a woman expects presents. If he is too poor to give gifts, she will mock and shame him. If he arrives at her home empty-handed, if he comes back from a job in Uganda or the city without something for her, she will be enraged.",mock and shame,,non_symmetric,insulting_license,0.9,"Patterned maternal shaming tied to gift-giving expectations; mother is initiator, son target.",2026-07-06T09:03:38.691845+00:00
484,/Barundi_Albert_1963_209_KS,CentralAfrica,Barundi,grandparents,kin_role,grandchildren,kin_role,kinship,"Author describes grandparents recurrently joking, spoiling and protecting grandchildren.","Grandparents joke with their grandchildren, spoil them, protect them against their parents' anger, and, if they are not believing Christians, they expect their grandchildren will in due course perform the ceremonies in honour of the imizimu, the spirits of dead grandparents.",joke with,,mixed,joking_relationship,0.95,"Recurrent, culturally patterned indulgence and joking by grandparents toward grandchildren; some reciprocal play implied.",2026-07-06T09:03:38.691845+00:00
485,/Barundi_Albert_1963_209_KS,CentralAfrica,Barundi,a mother-in-law,kin_role,her son-in-law,kin_role,kinship,Text explicitly prescribes formal respectful relations with no jokes or quarrels between these roles.,"A mother-in-law and her son-in-law, no matter what their caste, address each other as umufasoni, noble. Their relationship is one of highly formal respect, politeness of the highest degree, no jokes and no quarrels.",umufasoni (noble); no jokes and no quarrels,umufasoni,symmetric,avoidance,0.95,Culturally enforced avoidance of joking; both parties use a formal address.,2026-07-06T09:03:38.691845+00:00
848,/Mbuti_Turnbull_1962_44_KS,CentralAfrica,Mbuti,the Pygmies,ethnic group,the Negroes,ethnic group,cross_group,Recurrent patterned teasing from Pygmies directed at Negroes; cross-group social units.,"Rather to my surprise this struck the Pygmies as being funny, and they began sniggering. Kenge, carefully dusting the last specks of earth from his spotless shorts, pretended to be severe and said this was no time for laughter. He then promptly cracked a joke at the expense of the Negroes and joined his friends in howls of mirth. ... but this time the disapproving looks they got from the Negroes discouraged them.",joke at the expense of,,non_symmetric,teasing,0.6,"Text shows Pygmies teasing Negroes and Negroes' disapproval; limited explicit wording on institutionalization, coded as cross-group teasing.",2026-07-06T09:41:58.414436+00:00
849,/Mbuti_Turnbull_1965_12_KS,CentralAfrica,Mbuti,bachelors,age_set,hunting band members,group,within_group,Text describes a culturally recognized buffoon role where bachelors are repeatedly teased by band members.,"Being a bachelor made my integration into family life somewhat easier than it might have been otherwise, and my reciprocal duties were not heavy, mainly involving my working with other bachelors... I found myself pushed into another category that I subsequently discovered to be a perfectly traditional one for incompetent hunters and some others--that of buffoon. This was very convenient, as it meant that I was the recipient of threats, ridicule, jokes and gossip, all of significance, and being made a general scapegoat I was also the center of a number of disputes.",buffoon (scapegoat) role,,non_symmetric,joking_relationship,0.8,Role rotates among bachelors; teasing is institutionalized within the band.,2026-07-06T09:42:06.591009+00:00
850,/Mbuti_Turnbull_1970_299_KS,CentralAfrica,Mbuti,the Mbuti,ethnic group,neighboring African village farmers,village,cross_group,Text explicitly names a culturally constrained joking relationship between Mbuti and neighboring village farmers.,"I describe what changes I found in 1970, when I returned with a colleague to the Ituri following the years of war. Here we see the process of change continuing, but with an uncertain sense of direction. ... But one thing that has not changed is my deep affection for the Mbuti, and although I am constrained by a joking relationship to say nasty things about them occasionally, for the neighboring African village farmers.",joking relationship,,unclear,joking_relationship,0.8,,2026-07-06T09:42:26.491617+00:00
851,/Mbuti_Turnbull_1983_32_KS,CentralAfrica,Mbuti,Mbuti,ethnic group,Bira villagers,village,cross_group,Text describes recurrent friendly mockery establishing an us-vs-them joking relationship between Mbuti and villagers.,"Yet with all this mockery and ridicule, and very real trickery, there was never a trace of malice or real hostility. If anything, it was really rather friendly ridicule, a form of group joking relationship that merely helped to establish the clear and necessary difference between “them” and “us.”

...they came to regard me with the same kind of rather amused disdain that they had, or pretended to have, for the Mbuti.",group joking relationship,,mixed,joking_relationship,0.9,,2026-07-06T09:42:38.479769+00:00
852,/Mbuti_Turnbull_1983_44_KS,CentralAfrica,Mbuti,children,age_set,adults,age_set,within_group,Children routinely and culturally ridicule adults as part of dispute processes—a patterned age-grade teasing role.,"Already, in the bopi , the children become involved in disputes, and are sometimes instrumental in settling them by ridicule, for nothing hurts an adult more than being ridiculed publicly by children.",ridicule/public teasing by children,,non_symmetric,insulting_license,0.8,,2026-07-06T09:42:47.863742+00:00
853,/Mbuti_Turnbull_1983_64_KS,CentralAfrica,Mbuti,Mbuti,ethnic group,"kpara and karé (""brothers of the knife"", village men with whom they had shared the nkumbi initiation)",group,cross_group,"Text describes a culturally recognized, recurrent joking relationship between Mbuti and these village men.","What the Mbuti liked best of all was a village that they took to be the best of the outside world, but with the least amount of pressure attached to it. There they put the classical joking relationship into action in a masterful way. Rather than bartering or trading, as villagers did, the Mbuti brought their kpara and karé (""brothers of the knife,"" village men with whom they had shared the nkumbi initiation) whatever they chose to bring by way of forest products, and did just as much work as they wanted to, in return helping themselves to whatever they wanted from their patrons' households or plantations.",brothers of the knife / classical joking relationship,kpara and karé,non_symmetric,joking_relationship,0.9,,2026-07-06T09:42:57.132578+00:00
841,/MbutiTurnball291KS,CentralAfrica,MbutiTurnball291KS,Mbuti,ethnic group,Bulibuli lineage,lineage,cross_group,Text states Mbuti groups are attached to Bulibuli lineages and stand in a joking relationship with one maximal lineage.,"More important, he describes how two Mbuti groups are fitted into the Amba lineage structure, but only partially so. They are both attached to Bulibuli lineages, each to a maximal lineage as a whole; yet they do not share full and equivalent relationships as Bulibuli with the other lineages of the same clan. Winter mentions that they stand in a joking relationship with only one of the maximal lineages.",joking relationship,,unclear,joking_relationship,0.8,The Mbuti are the eastern extension living among the Amba; text specifies joking tie to one Bulibuli maximal lineage but does not name that specific lineage.,2026-07-06T09:40:41.707361+00:00
842,/MbutiTurnbull292KS,CentralAfrica,MbutiTurnbull292KS,Mbuti,ethnic group,villagers,ethnic group,cross_group,"Text describes a recurrent, institutionalized joking relationship between Mbuti and villagers stabilizing their alliance.","In the Mbuti Villager situation the relationship appears to be symmetrical and permissive, though both sides do occasionally take offense... a form of joking relationship helps to stabilize the alliance, maintaining the combination of Radcliffe-Brown's “conjunctive and disjunctive components,”",joking relationship,,symmetric,joking_relationship,0.9,,2026-07-06T09:40:51.738691+00:00
843,/MbutiTurnbull293KS,CentralAfrica,MbutiTurnbull293KS,the Mbuti,ethnic group,the villagers,village,cross_group,"Text describes recurrent joking, ridicule, raids as a culturally patterned relationship between Mbuti and villagers.","In view of the lengths to which the Mbuti carry the joking relationship, if it can be called that, convenient to maintain their bands in such constant and otherwise unnecessary flux. The Mbuti constantly raid village plantations, openly ridicule the villagers, and steal from under their noses, unless the villagers are particularly generous.",joking relationship,,non_symmetric,joking_relationship,0.9,,2026-07-06T09:41:01.670616+00:00
844,/MbutiTurnbull294KS,CentralAfrica,MbutiTurnbull294KS,Mbuti,ethnic group,villagers,village,cross_group,Text explicitly describes recurrent joking relationship and ridicule between Mbuti and villagers; cross-community units.,"Again the Mbuti employ the joking relationship to their advantage. They invoke claims upon kpara, karé , and “kin” without the slightest compunction, but when the same claims are reversed, they either deny or ridicule them.",joking relationship,,non_symmetric,joking_relationship,0.9,,2026-07-06T09:41:14.547606+00:00
845,/MbutiTurnbull294KS,CentralAfrica,MbutiTurnbull294KS,Mbuti,ethnic group,kpara,kin_role,kinship,Mbuti invoke claims upon kpara as part of an institutionalized joking practice tied to kinship claims.,"Again the Mbuti employ the joking relationship to their advantage. They invoke claims upon kpara, karé , and “kin” without the slightest compunction, but when the same claims are reversed, they either deny or ridicule them.",,kpara,non_symmetric,joking_relationship,0.8,kpara treated as a kinship claim/category invoked jokingly by Mbuti.,2026-07-06T09:41:14.547606+00:00
846,/MbutiTurnbull294KS,CentralAfrica,MbutiTurnbull294KS,Mbuti,ethnic group,karé,kin_role,kinship,"Text lists karé with kpara as invoked claims within the recurring joking relationship, indicating institutionalized kin-role teasing.","Again the Mbuti employ the joking relationship to their advantage. They invoke claims upon kpara, karé , and “kin” without the slightest compunction, but when the same claims are reversed, they either deny or ridicule them.",,karé,non_symmetric,joking_relationship,0.8,karé recorded as indigenous kin term used in joking claims.,2026-07-06T09:41:14.547606+00:00
847,/MbutiTurnbull299KS,CentralAfrica,MbutiTurnbull299KS,the Mbuti,ethnic group,the villagers,ethnic group,cross_group,"Text explicitly calls a recurrent joking relationship between Mbuti and villagers, institutionalized to maintain separation.","the Mbuti adopt only the outer form of the village social organization while in the village, in a form of joking relationship between the two groups. The joking relationship and the dual function of the Mbuti principles of organization effectively counter all attempts of the villagers to effect an institutional subordination of the Mbuti.",joking relationship,,unclear,joking_relationship,0.9,,2026-07-06T09:41:20.113946+00:00
951,/Rwandans_Maquet_1961_118_KS,CentralAfrica,Rwandans,young Tutsi,age_set,companions of the young Tutsi as well as older people,group,within_group,"Repeated, socially sanctioned teasing used to train self-control in young Tutsi; intra-societal age/peer practice.","By jeers and scoffing, companions of the young Tutsi as well as older people, tried to make him angry and if he reacted emotionally, he was punished by further jokes. So finally he was able to remain apparently quiet and polite in any circumstances which would have elicited more violent reactions from people not thus trained.",,,non_symmetric,joking_relationship,0.9,,2026-07-06T09:52:51.138702+00:00
952,/Rwandans_Maquet_1961_44_KS,CentralAfrica,Rwandans,grandfather,kin_role,granddaughters,kin_role,kinship,"Text describes recurrent, culturally patterned joking familiarity between grandfathers and granddaughters.",The grandfather called his granddaughters his little wives and his grandsons his love rivals. The reason given for this familiarity is that it helped to cheer up the old people and to train the young ones in socially enjoyable talk.,great familiarity and joking,,symmetric,joking_relationship,0.9,,2026-07-06T09:53:03.093161+00:00
953,/Rwandans_Maquet_1961_44_KS,CentralAfrica,Rwandans,grandfather,kin_role,grandsons,kin_role,kinship,"Text describes recurrent, culturally patterned joking familiarity between grandfathers and grandsons.",The grandfather called his granddaughters his little wives and his grandsons his love rivals. The reason given for this familiarity is that it helped to cheer up the old people and to train the young ones in socially enjoyable talk.,great familiarity and joking,,symmetric,joking_relationship,0.9,,2026-07-06T09:53:03.093161+00:00
954,/Rwandans_Maquet_1961_45_KS,CentralAfrica,Rwandans,sisters,kin_role,brothers,kin_role,kinship,Text describes recurrent playmate relations between sisters and brothers during childhood.,"Sisters and brothers were playmates during their childhood. After puberty their relations were restricted, but certainly not to the point of avoidance.",,,symmetric,joking_relationship,0.9,,2026-07-06T09:53:16.024830+00:00
955,/Rwandans_Maquet_1961_45_KS,CentralAfrica,Rwandans,Ego,kin_role,the daughters of his paternal uncle,kin_role,kinship,"Ego and his paternal uncle's daughters (parallel paternal cousins) exchanged obscene jokes at gatherings, a patterned practice.","Ego considered the daughters of his paternal uncle as sisters with whom there was a marriage prohibition. There was consequently a certain reserve between them which, however, did not prevent them from exchanging obscene jokes at a celebration or a gathering,",,,symmetric,joking_relationship,0.9,,2026-07-06T09:53:16.024830+00:00
956,/Rwandans_Maquet_1961_49_KS,CentralAfrica,Rwandans,Ego,kin_role,female maternal cross-cousins,kin_role,kinship,Text describes recurrent familiar practical jokes and erotic games between Ego and his female maternal cross-cousins—kinship-based pattern.,"As has just been indicated, Ego could enjoy with his female maternal cross-cousins great familiarity expressed in practical jokes, pleasant talk, and erotic games.",great familiarity,,symmetric,joking_relationship,0.9,,2026-07-06T09:53:23.687790+00:00
957,/Rwandans_Maquet_1961_56_KS,CentralAfrica,Rwandans,Ego,kin_role,"WiFa, WiMo, HuFa, HuMo (parents-in-law generation)",kin_role,kinship,Text describes recurrent familiar joking/familiarity between Ego and parents-in-law roles.,"WiFa, WiMo, HuFa, HuMo were addressed by the term used for the grandparents. We know that Ego's conduct towards his grandparents was extremely familiar. He had to use the same term for in-laws and was not allowed to pronounce their name.",Parents-In-Law And Children-In-Law,,non_symmetric,joking_relationship,0.9,Institutionalized pattern of familiar address and licensed liberties toward in-laws described; Ego's deference implies asymmetry.,2026-07-06T09:53:37.652127+00:00
